Comparison of Mean ADCs for PMT10 before and after resistors
            (1559) 	    	  (1566)
Pixel       Mean   Sigma       Mean   Sigma
1           698.6  177.4       598.9  102.1
3           842.7  191.3       624.4  126.5
4           959.6  200.0       637.7  159.4
5           918.5  185.9       644.6  616.5
6           1090.9 326.8       616.5  130.4
7           1330.9 243.7       627.0  126.4
8           978.1  248.0       613.5  151.0
9           624.9  119.8       580.5  111.0
10          1017.6 222.7       635.3  143.2
11          914.8  177.0       627.1  128.3
12          919.6  208.5       611.9  124.7
13          912.1  194.0       612.8  132.7
14          717.1  203.2       631.2  143.5
15          616.2  148.7       570.6  142.5	      
