Comparison of Mean ADCs for PMT12 before and after resistors
            (1559) 	    	  (1566)
Pixel       Mean   Sigma        Mean   Sigma 
1           574.8  156.4	315.8  99.3
2           537.4  107.1	315.2  72.2
3           375.8  102.7	335.6  78.9
4           378.8  84.4		318.8  74.0
5           623.6  137.4	310.3  71.7
6           316.7  70.1		314.1  82.3
7           409.7  85.8		325.2  75.7
8           409.0  92.1		326.8  68.6
9           455.2  99.5		310.9  59.0
12          399.7  72.6		312.2  59.6
13          495.6  108.5	327.7  71.5
14          348.9  61.5		312.1  71.1
15          414.1  86.3		328.6  79.9
16          374.8  90.8		302.9  72.1
