Comparison of Mean ADCs for PMT13 before and after resistors
           (1559)  	    	  (1568)
Pixel      Mean    Sigma        Mean    Sigma
1          1152.2  400.0	749.0	311.3
2          1052.8  257.4	687.5	169.7
3          706.4   170.0	669.5	147.2
4          1309.1  232.3	685.3	190.2
5          702.3   173.2	639.5	137.1
6          1334.4  273.9	675.7	141.3
7          989.5   221.0	628.9	104.6
8          784.8   176.9	693.3	147.6
9          821.8   163.7	715.2	209.0
10         695.3   155.7	612.8	169.7
11         776.8   152.3	706.9	132.1
12         988.1   264.4	721.7	226.2
14         949.5   235.5	714.5	125.2
15         785.7   219.4	661.4	183.0
