Comparison of Mean ADCs for PMT14 before and after resistors
             (1560)	    	  (1568)
Pixel        Mean   Sigma       Mean   Sigma
1            694.8  191.2	399.1  97.5
2            678.4  203.4	417.5  144.6
3            944.2  361.9	449.7  112.4
5            747.2  180.4	431.7  109.0
6            945.1  242.7	429.6  97.4
7            991.6  218.3	428.4  102.9
8            770.5  227.9	453.7  117.6
9            469.3  108.1	350.0  79.9
10           622.7  124.6	443.6  90.7
11           610.4  133.0	433.3  76.4
12           697.8  163.5	446.3  106.8
13           673.4  145.9	468.8  109.0
15           442.7  107.3	357.5  72.2
16           1139.5 463.3	482.7  152.5
