Comparison of Mean ADCs for PMT4 before and after resistors
            (1558) 	      (1565)
Pixel       Mean   Sigma      Mean   Sigma
1           470.6  112.0      512.1  159.0
2           1454.8 459.1      524.5  104.6
3           593.5  143.0      538.7  120.4
4           541.9  113.8      552.4  104.4
5           608.3  129.0      542.4  107.8
6           764.9  174.1      570.4  118.9
7           799.1  189.2      555.8  123.2
8           535.2  108.6      533.0  116.6
9           493.3  110.5      535.0  106.4
10          419.9  86.4	      487.9  106.6
11          526.7  93.9	      582.4  136.8
12          741.4  141.9      574.6  119.2
14          918.6  171.6      511.7  114.9
15          480.2  120.1      544.1  128.4
