Comparison of Mean ADCs for PMT5 before and after resistors
            (1558) 	       (1565)
Pixel       Mean   Sigma       Mean   Sigma
1           574.2  147.6       576.4  147.5
3           654.6  239.5       652.1  131.9
4           1808.9 471.7       606.3  138.7
5           508.9  125.1       626.2  294.1
6           610.0  121.8       604.3  113.4
7           616.3  130.3       600.8  158.0
8           644.9  132.6       635.8  136.5
9           533.0  107.1       630.1  134.2
10          502.0  111.5       569.0  97.2
11          534.2  111.6       637.3  119.2
12          566.5  113.8       634.3  138.8
14          3284.6 748.1       3041.6 743.3
15          483.5  101.6       572.9  172.8
16          485.4  126.9       580.0  109.1
