Comparison of Mean ADCs for PMT9 before and after resistors
             (1559)	    	 (1572)
Pixel        Mean   Sigma     Mean   Sigma
1            798.5  270.7     481.9  277.1
2            888.3  244.7     549.5  159.9
3            719.4  183.9     554.5  164.5
5            661.3  161.7     576.7  140.5
6            583.2  140.8     544.1  143.4
7            624.5  132.0     555.5  137.7
8            653.8  159.0     582.0  156.8
9            1096.1 292.3     594.9  139.4
10           1221.6 502.9     598.3  192.9
11           1390.9 326.7     586.0  171.1
12           1268.6 305.6     560.8  145.5
13           1868.4 498.6     523.1  110.4
14           1675.4 464.1     575.0  166.5
15           1805.2 410.5     570.5  116.1
