PMT 12 Efficiency
Run#	1365	1364	1363	1360	1356
HV:	700	725	750	775	800
1	0.122	0.635	0.894	1.000	1.000
2	0.451	0.584	0.737	0.830	0.656
3	0.702	0.838	0.925	0.969	0.591
4	0.604	0.849	0.938	0.967	0.708
5	0.242	0.826	0.978	0.991	0.846
6	0.837	0.934	0.987	0.986	0.788
7	0.838	0.946	0.994	0.993	0.900
8	0.832	0.912	0.977	0.985	0.929
9	0.842	0.945	0.995	1.000	1.000
10	0.816	0.928	0.986	0.980	0.985
11	0.809	0.931	0.981	0.990	0.961
12	0.729	0.809	0.943	0.982	1.000
14	0.798	0.880	0.912	0.957	0.964
15	0.847	0.865	0.939	0.960	0.967
