Comparison of Mean ADCs for PMT2 before and after resistors
             (1558)	       (1565)
Pixels       Mean   Sigma      Mean   Sigma
1            624.9  160.1      751.4  179.0
2            844.5  222.6      793.7  213.9
3            914.0  181.9      820.7  171.1
5            715.9  226.5      758.7  230.6
6            865.4  263.6      815.0  181.8
7            817.2  184.8      838.2  175.3
9            918.0  184.3      825.7  197.7
10           820.5  225.4      734.9  179.7
11           920.7  248.0      802.2  162.6
12           900.1  184.2      795.8  201.5
13           813.8  195.1      819.8  192.5
14           626.1  944.3      774.4  228.0
15           662.2  171.1      766.1  202.8
16           741.4  135.7      809.1  164.7
