Comparison of Mean ADCs for PMT6 before and after resistors
             (1558)	        (1565)
Pixel        Mean   Sigma       Mean   Sigma
1            1137.3 282.9	704.8  182.4
2            725.4  130.7	755.3  284.0
3            4043.0 755.7	3513.1 980.3
4            896.8  242.1	669.9  176.3
5            703.4  139.8	707.4  155.3
6            781.8  124.3	707.7  153.7
7            710.4  131.4	697.6  144.6
8            825.7  147.4	686.8  170.1
9            540.0  105.2	611.9  118.7
10           744.0  150.3	714.0  176.3
11           825.7  184.9	665.1  155.8
12           632.0  126.3	672.4  131.1
14           665.5  105.4	854.1  239.1
15           1217.9 283.2	666.7  137.9
