Comparison of Mean ADCs for PMT7 before and after resistors
             (1558)	    	 (1566)
Pixel        Mean   Sigma       Mean   Sigma
1            441.0  117.6	462.4  103.9
2            465.5  92.9	462.9  88.4
3            574.1  121.0	446.4  90.5
5            445.3  87.9	470.2  101.0
6            696.6  134.4	474.6  93.2
7            720.6  163.0	480.0  92.8
8            647.6  140.0	476.0  101.9
9            657.9  140.2	432.5  90.0
10           649.4  119.0	465.7  91.9
11           591.8  130.9	453.3  75.0
12           532.8  101.3	454.6  88.7
13           587.6  114.7	468.8  92.5
14           533.7  109.6	475.5  105.5
15           370.3  103.5	418.6  89.9
