Comparison of Mean ADCs for PMT8 before and after resistors
            (1559) 	    	 (1566)
Pixel       Mean   Sigma       Mean   Sigma
1           741.7  261.2       408.8  90.0
2           629.7  169.1       399.4  99.2
3           519.2  100.7       446.3  106.0
4           439.9  101.6       414.8  103.5
5           702.2  155.9       429.1  98.6
6           648.7  137.7       444.2  104.2
7           645.5  173.4       436.1  90.6
8           600.5  169.1       416.5  89.1
9           837.4  251.0       452.4  100.2
10          741.7  273.6       450.8  91.6
11          616.2  182.5       458.2  120.0
12          798.5  185.9       444.0  95.9
13          2142.8 506.4       1423.4 302.1
15          569.7  130.1       482.0  126.9
