PMT 11 Efficiency
Run#	1749	1750	1751	1752	1753
HV:	700	725	750	775	800
1	0.269	0.466	0.572	0.640	0.739
3	0.343	0.423	0.524	0.541	0.814
4	0.459	0.701	0.837	0.943	0.935
5	0.354	0.621	0.866	0.960	0.937
7	0.045	0.234	0.643	0.882	0.799
8	0.089	0.332	0.783	0.899	0.953
9	0.630	0.737	0.902	0.977	0.955
10	0.653	0.802	0.928	0.944	0.938
11	0.770	0.861	0.941	0.983	0.994
12	0.153	0.547	0.813	0.981	0.976
13	0.331	0.617	0.891	0.948	0.882
14	0.220	0.686	0.876	0.962	0.918
15	0.343	0.526	0.650	0.782	0.808
16	0.431	0.642	0.701	0.751	0.797
