PMT 7 Efficiency
Run#	1748	1745	1743	1742	1741
HV:	700	725	750	775	800
2	0.625	0.815	0.850	0.860	0.902
3	0.786	0.916	0.955	0.970	0.935
4	0.733	0.916	0.996	0.971	0.918
5	0.753	0.968	0.990	0.960	0.961
6	0.777	0.915	0.990	0.983	0.761
7	0.736	0.975	0.982	0.989	0.947
8	0.713	0.981	0.993	0.968	0.949
9	0.791	0.961	0.986	0.993	0.922
10	0.704	0.942	0.985	0.954	0.955
11	0.820	0.971	0.977	0.949	0.779
12	0.799	0.960	0.990	0.949	0.871
14	0.715	0.812	0.924	0.945	0.916
15	0.363	0.638	0.615	0.699	0.785
16	0.000	0.039	0.006	0.073	0.238
