Comparison of mean adc for PMT 11 before and after resistors.
             (1636)    	       	  	 (1682)
Pixel        Mean      Sigma       Mean       Sigma
1	     842.7     181.6	   761.9      147.7
2	     630.5     109.0	   570.9      118.5	   
3	     791.0     167.0	   689.8      123.0
4	     794.3     152.1	   735.6      139.1
5	     904.7     163.5	   720.5      149.4
6	     1249.5    290.3	   731.8      137.8
7	     1786.3    385.6	   766.9      147.9	   
8	     1728.3    306.9	   777.9      138.1
9	     612.5     125.5	   552.8      88.4
10	     1034.6    219.9	   750.7      129.0
11	     645.9     113.2	   521.4      168.9
12	     1814.4    347.5	   762.4      128.7
14	     888.8     183.6	   604.7      211.6
15	     644.8     196.5	   728.7      182.2	
