Comparison of mean adc for PMT 13 before and after resistors.
             (1636, Px 6 1643) 	  	 (1678)
Pixel        Mean      Sigma       Mean       Sigma         
1	     606.5     166.9       516.9      120.8
3	     420.2     92.7        416.8      88.7
4	     616.2     153.9       458.3      92.1
5	     442.2     154.0	   452.6      122.6
6	     696.3     161.8	   481.7      105.9
7	     506.2     124.9	   461.7      131.3
8	     400.6     109.8	   444.2      98.3
9	     506.8     152.9	   526.0      115.4
10	     373.2     78.6	   443.6      107.0
11	     449.7     101.0	   476.4      116.1
12	     705.0     175.6	   486.7      103.8
13	     624.3     119.0	   451.7      105.9
14	     596.1     143.4	   462.8      104.3
15	     532.1     132.9	   489.2      114.0
