Comparison of mean adc for PMT 14 before and after resistors.
             (1636)    	       	   (1677)
Pixel        Mean      Sigma       Mean       Sigma
1	     696.4     183.0	   416.7      103.5
2	     347.9     87.9        303.5      75.7
3	     703.9     226.1	   450.5      137.4
5	     417.3     113.8	   354.5      87.2
6	     618.2     144.5	   432.7      112.7
7	     575.4     135.1	   432.9      104.6
8	     830.4     220.8	   433.9      111.0
9	     406.7     94.2	   377.3      100.9
10	     423.6     108.6	   407.8      95.9
11	     526.4     121.2	   439.9      105.2
12	     601.8     162.2	   457.5      102.5
13	     438.4     116.4	   387.3      90.5
15	     476.5     96.3	   365.9      76.5
16	     1022.2    273.7	   579.8      151.6
