Comparison of mean adc for PMT 2 before and after resistors.
             (1633)    	       	 	 (1691)
Pixel        Mean      Sigma       Mean       Sigma
1	     528.2     131.8	   495.5      179.9
2	     529.6     94.7	   498.2      129.8
3	     651.0     125.8	   506.9      147.1	      
5	     812.4     230.4	   531.2      130.3
6	     537.2     146.2	   498.6      123.3
7	     607.4     142.3	   506.3      136.8
8	     652.8     150.1	   741.9      212.6
9	     508.1     135.2	   479.4      115.5
10	     555.0     132.6	   496.5      128.7
11	     742.4     173.6	   468.9      110.9	
12	     691.9     133.9	   495.2      146.2
13	     756.2     163.9	   518.9      115.6
14	     548.7     103.8	   545.6      161.1
15	     480.9     111.7	   431.8      943.9
