Comparison of mean adc for PMT 5 before and after resistors.
             (1633 top half 1658)	    (1689)
Pixel        Mean      Sigma		Mean       Sigma
1	     831.4     226.7		449.3	   130.4
2	     1231.8    351.2		467.0	   117.8
3	     993.3     393.0		455.6	   122.8
4	     1492.3    450.0		451.5	   147.9
6	     711.2     172.3		460.6      111.1
7	     909.7     190.3		444.2	   108.3
8	     788.4     217.4		430.0	   119.6
9	     433.9     98.5		349.8	   97.0	   
10	     580.2     154.6		450.1	   105.8
11	     663.1     176.2		457.4	   130.1
12	     671.9     143.9		440.9	   109.7
13	     591.1     144.2		433.8	   129.8
15	     636.6     146.9		274.4	   90.1
16	     741.4     184.3		451.5 	   147.9
