Comparison of mean adc for PMT 7 before and after resistors.
             (1640, Px 6 1641)        (1678)
Pixel        Mean      Sigma       Mean       Sigma
1	     432.1     158.9	   196.5      45.9
2	     245.6     101.2	   267.8      75.2
3	     249.4     126.5	   291.1      62.6
5	     244.7     99.2	   259.7      64.1
6	     327.6     104.4	   254.8      56.9
7	     341.2     122.8	   289.1      66.8
8	     231.5     54.9	   289.6      71.7
9	     363.7     93.4	   263.2      58.4
10	     322.7     75.2	   255.6      54.8
11	     245.9     68.8	   279.8      57.4
12	     202.1     57.0	   233.1      58.5
13	     211.6     64.3	   262.3      69.0
15	     248.6     55.9	   203.1      86.2
16	     1911.1    506.7	   297.4      102.4
