Comparison of mean adc for PMT 9 before and after resistors.
             (1636)    	       	  	(1683) 
Pixel        Mean      Sigma       Mean       Sigma
1	     1076.5    381.6	   1054.9     259.6	   
2	     1093.9    336.0	   1020.4     213.1	   
3	     1072.7    212.5	   1048.4     237.4
4	     1474.5    337.2	   1007.5     220.8
5	     1048.8    257.8	   954.1      229.4
6	     920.8     245.7	   1022.2     193.5
7	     842.7     171.1       794.5      167.9
8	     901.5     202.0	   856.2      184.3
9	     1402.3    316.7	   988.0      225.1
10	     1794.8    458.2	   1006.4     311.6
11	     2141.5    416.4	   1034.9     269.4
12	     1517.1    349.3	   993.5      280.3
14	     2467.3    587.8	   1132.2     305.3 
15	     2113.2    452.2	   1011.0     230.0
