PMT 10 Efficiency
Run#	1702	1703	1704	1705	1706
HV:	700	725	750	775	800
2	0.800	0.803	0.800	0.442	0.579
3	0.748	0.782	0.810	0.766	0.862
5	0.776	0.888	0.767	0.539	0.659
6	0.824	0.888	0.775	0.404	0.462
7	0.821	0.933	0.822	0.351	1.000
8	0.872	0.983	0.979	0.950	0.901
9	0.803	0.767	0.556	0.744	0.633
10	0.795	0.953	0.985	0.864	1.000
11	0.581	0.917	0.667	0.923	0.677
12	0.770	0.981	0.968	0.937	0.982
13	0.912	0.857	0.729	0.338	0.694
14	0.612	0.500	0.737	0.611	0.824
15	0.402	0.431	0.629	0.593	0.739
16	0.146	0.615	0.874	0.777	0.745
