Run#	1702	1703	1704	1705	1706
PMT 13	700	725	750	775	800
1	137.8	130.2	116.6	114.1	109.7
2	0.0	0.0	0.0	0.0	0.0
3	51.4	49.9	50.2	50.5	51.7
4	118.5	111.9   96.4	98.4	93.0
5	55.3	53.2	52.3	53.7	55.3
6	96.3	89.5	79.3	75.6	69.2
7	31.5	26.9	26.8	24.3	25.1
8	26.1	23.7	23.5	23.5	24.9
9	61.4	56.3	55.9	53.0	53.5
10	34.1	34.5	35.0	35.7	37.1
11	39.0	38.4	38.7 	39.8 	40.6
12	121.9	113.1	104.6	98.6	91.8
13	83.4	78.1	73.8	67.1	63.3
14	88.0	81.4	77.9	73.3	71.9
15	66.6	62.6	62.3	56.8	57.1
16	0.0	0.0	0.0 	0.0 	0.0
