Run#	1929	1928	1927	1926	1925
PMT 5	700	725	750	775	800
1   	50.0	48.2	48.0	49.7	51.6
2	112.7	109.0	102.0	76.3	92.2
3	53.4	85.7	78.4	74.1	72.5
4	178.2	168.1	158.7	148.5	142.5
5	0.0	0.0	0.0	0.0	0.0
6	37.4	36.1	35.9	36.7	36.8
7	41.6	39.8	38.8	39.4	39.8
8	40.7	38.5	37.6	38.0	38.8
9	29.8	29.4	30.1	30.9	31.6
10	25.2	25.3	25.8	26.4	26.7
11	24.3	24.8	25.3	26.1	26.4
12	28.3	28.5	29.5	30.4	31.1
13	35.4	34.8	35.2	36.8	37.1
14	485.1	368.8	353.9	330.4	295.3
15	35.8	35.3	35.9	37.6	38.2
16	0.0	0.0	0.0	0.0	0.0
