Comparison of PMT 11 with 200 ohm resistors and optimized resistors
	   (1863)    	      	  (1878)
Pixel	   Mean    Sigma	  Mean	  Sigma
1	   577	   156		  544	  112
3	   630	   141		  505	  94
4	   563	   109		  511	  113
5	   624	   154		  535	  121
6	   1131	   288		  540	  104
7	   1164	   298		  596	  136
8	   1102	   246		  507	  113
9	   550	   96		  487	  115
10	   834	   167		  505	  105
11	   416	   80		  400	  75	    
12	   1253	   244		  543	  109
13	   734	   164		  524	  110
15	   715	   157		  503	  97
16	   597	   174		  512	  120
