Comparison of mean adc for PMT 3 before and after resistors.
	      	   (1858)      	 	    	  (1876)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
2	      665      142		    319		88
3	      474      142		    336		68    
4	      449      110		    333		80
5	      427      89		    314		64
6	      524      97		    329		96
7	      450      95		    339		85    
8	      372      88		    326		87
9	      419      94		    355		102
10	      546      158      	    314		109
11	      2901     572     		    377 	145    
12	      412      79		    329		80
13	      256      74		    250		57
15	      429      99		    311		78
16	      362      90		    318		60
