Comparison of mean ADC for PMT 7 before and after resistors installed.
	   (1859)      	       	 (1865)
Pixel	   Mean	   Sigma	 Mean	Sigma
1	   699	   146	   	 619	148
2	   529	   90		 519	102
3	   530	   113	   	 511	100
4	   701	   120		 594	145
5	   528	   103 		 519	95
6	   782	   160		 624	126
7	   729	   155		 599	122
8	   697	   130		 602	117
9	   695	   140		 626	127
10	   791	   193		 616	111
11	   665	   107		 714	132
12	   489	   100		 505	114
14	   611	   138		 620	134
15	   520	   111		 483	131
