Run #: 1858	 PMT #: 1 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	555.524	0.19557	130.54
2	597.168	0.1592	108.974
3	0	0	Missing Pixel
4	633.112	0.161076	108.567
5	735.982	0.176557	130.744
6	591.968	0.173112	128.044
7	687.804	0.20309		133.015
8	587.078	0.169392	118.076
9	420.665	0.208136	110.793
10	927.239	0.204072	158.942
11	0	0	Missing Pixel
12	703.413	0.19693		143.353
13	606.103	0.197027	129.377
14	651.130	0.215103	135.106
15	629.395	0.196091	135.201
16	361.887	0.306238	199.551
