Run#	1783	1782	1781	1780	1779
PMT 5	700	725	750	775	800
1	64.7	60.2	58.3	57.7	59.7
2	145.9	133.5	127.8	123.8	118.9
3	126.0	112.5	108.2	104.8	99.1
4	255.8	261.4	230.4	220.5	214.4
5	51.0	48.0	44.9	42.4	42.5
6	45.9	42.1	40.7	39.6	40.4
7	45.8	42.5	40.8	39.8	40.7
8	52.6	49.2	46.4	42.8	41.8
9	37.0	34.7	35.3	34.0	34.9
10	31.0	29.4	30.5	29.5	30.4
11	29.9	28.5	29.0	28.7	29.5
12	35.7	33.8	34.5	33.3	34.4
13	0.0	0.0	0.0	0.0	0.0
14	365.2	392.8	332.3	308.9	299.9
15	46.4	41.1	40.0	39.7	40.9
16	0.0	0.0	0.0	0.0	0.0
