Comparison of mean adc for PMT 10 before and after resistors.
	      Run 1765 	       	  	 Run 1768	 
Pixel	      Mean	Sigma		 Mean		 Sigma
1	      234.5	89.8		 248.3		 89.5
3	      184.5	78.9		 201.3		 84.2
4	      184.5	78.9		 201.3		 84.2
5	      228.3	62.9		 229.4		 75.9
6	      221.4	79.3		 228.9		 66.4 		 
7	      383.6	142.0		 238.0		 60.1
8	      256.5	78.2		 232.0		 60.4
9	      251.6	86.8		 236.8		 82.5		 
10	      284.4	78.9		 226.9		 68.4
11	      299.7	75.6		 224.8		 66.1
12	      377.6	100.6		 228.1		 73.9
14	      225.7	71.1		 244.4		 68.8
15	      240.1	80.0		 263.8		 65.3
16	      991.4	285.4		 222.5		 92.2
