Comparison of mean adc for PMT 11 before and after resistors.
	      Run 1760 	       	     Run 1768
Pixel	      Mean	Sigma	     Mean	Sigma
2	      345.4	80.8	     274.2	77.2	 
3	      488.3	131.1 	     300.7	64.9
4	      427.7	95.3	     285.2	66.7
5	      327.6	79.1	     263.9	76.4
6	      707.9	163.4	     297.2	66.1
7	      907.3	214.3	     286.2	65.2
8	      708.9	162.8	     251.0	57.9
9	      249.0	67.7	     237.2	68.7
10	      415.9	118.2	     292.0	61.0
11	      224.7	59.8	     226.0	55.5
12	      512.6	149.1	     339.2	76.3
13	      333.1	82.7	     286.4	75.8
15	      315.8	79.3	     279.0	79.8	
16	      341.1	89.8	     277.7	65.2
