Comparison of mean adc for PMT 12 before and after resistors.
	      Run 1760 	       	  	     Run 1769
Pixel	      Mean		Sigma	     Mean	Sigma
2	      294.7		78.1	     209.4	64.9
3	      151.1		36.7	     158.0	51.1
4	      185.4		51.4	     203.7	58.8
5	      323.7		68.7	     228.6	63.5
6	      234.8		70.9	     227.8	57.9
7	      193.2		46.8	     212.5	43.1
8	      254.2		71.6	     212.2	67.3
9	      177.9		43.5	     193.7	54.9
10	      183.0		46.2	     191.2	50.0
11	      129.1		27.1	     143.7	35.5
12	      242.7		70.6	     203.6	53.1
13	      269.8		93.9	     212.8	58.3
14	      230.1		66.6	     211.3	65.5
15	      254.6		67.1	     202.4	59.5
