Comparison of mean adc for PMT 13 before and after resistors.
	      Run 1760 	       	  	 Run 1769
Pixel	      Mean	Sigma		 Mean		Sigma
1	      873.5	239.7		 523.7		142.9
2	      599.7	116.9		 481.9		135.9
3	      445.9	103.2		 479.0		175.0
4	      897.4	214.0		 486.8		127.3
5	      491.9	139.0		 483.6		128.4
6	      647.2	147.2		 479.4		117.1
7	      486.1	102.5		 500.4		127.2
8	      548.5	136.9		 474.6		125.6
9	      563.0	168.7		 501.2		125.7
10	      390.9	85.5		 411.1		94.4
11	      464.4	84.2		 473.9		104.2	
12	      827.3	201.6		 521.9		110.8
14	      491.7	146.2		 460.5		126.8
15	      564.8	143.7		 469.8		140.4
