Comparison of mean adc for PMT 14 before and after resistors.
	      Run 1760 	       	  	     1770
Pixel	      Mean	Sigma		     Mean	Sigma
1	      232.1	172.9		     352.3	81.9		
2	      387.6	151.1		     354.7	116.1		
3	      484.5	189.6		     346.3	126.1
4	      492.8	145.8		     375.5	165.1
5	      318.2	76.5		     363.4	100.2
7	      453.6	106.8		     415.9	111.7
8	      611.1	179.7		     383.8	114.8
9	      294.5	73.9		     325.8	96.8
10	      313.7	98.3		     352.3	81.9
11	      323.5	110.6		     382.8	94.2
12	      500.4	146.7		     368.9	91.0
13	      554.0	131.0		     393.6	85.4
14	      398.3	87.1		     388.5	99.1
15	      363.5	96.6		     383.0	100.0
