Comparison of mean adc for PMT 1 before and after resistors.
	    (1756) 	       	 	(1765)
Pixel	    Mean	Sigma  		Mean	Sigma
1	    589.4	124.8		584.3	171.0
2	    558.4	105.2		600.3	123.1
3	    599.2	137.6		624.2	113.2
4	    670.0	151.6		589.1	139.9
5	    646.7	146.7		608.1	147.0
7	    576.1	114.7		618.4	139.1
8	    758.5	167.6		593.3	134.2
9	    601.8	132.2		649.2	152.3
10	    818.6	211.3		608.2	122.3
11	    875.9	202.4		598.7	147.8
12	    882.1	190.0		629.6	155.3
13	    666.9	156.8		592.2	143.4
14	    1065.2	243.3		616.5	139.7
15	    486.3	418.3		535.0	446.9	
