Comparison of mean adc for PMT 2 before and after resistors.
	      Run 1756 	       	 	    Run 1765
Pixel	      Mean 	Sigma		    Mean	Sigma	      
2	      445.2	102.6		    308.5	95.2
3	      528.7	108.0		    329.5	73.5
4	      451.0	90.6		    317.4	66.5
5	      773.3	229.8		    326.6	88.2
6	      441.7	88.3		    309.6	72.1
7	      355.5	78.4		    312.8	69.5
8	      415.1	92.0		    316.8	63.8
9	      628.2	150.8		    258.5	60.4
10	      256.1	66.6		    203.5	118.7	    
11	      318.1	73.6		    322.6	103.9
12	      454.4	100.9		    246.7	112.6
13	      502.2	116.5		    312.9	80.6
14	      365.5	67.1		    333.6	74.3
15	      325.9	77.6		    331.1	80.0	      
