Comparison of mean adc for PMT 3 before and after resistors.
	      (1756) 	       	 	(1764)
Pixel	      Mean	Sigma		Mean	Sigma
2	      360.7	95.6		329.5	85.6
3	      376.0	83.1		320.0	75.5
5	      341.4	61.2		324.6	75.6
6	      371.5	82.5		322.8	74.1
7	      347.7	89.1		328.4	72.4
8	      442.9	108.4		322.3	72.1
9	      345.0	76.5		322.3	88.6
10	      326.2	66.6	      	302.3	100.5
11	      2297.7	631.7		348.8	74.6
12	      464.5	107.1		301.1	94.8
13	      363.9	91.8		311.6	100.2
14	      255.8	70.5		275.5	69.4
15	      320.2	94.4		321.2	108.6
16	      397.0	101.9		317.4	95.7
