Comparison of mean adc for PMT 4 before and after resistors.
	      (1756) 	       	 	(1779)
Pixel  	      Mean	Sigma		Mean	Sigma
1	      444.8	190.3       	485.6	160.1
2	      1211.4	305.2		574.6	138.9
3	      531.9	104.9		530.8	145.3
4	      643.8	155.4		563.5	122.5
5	      495.7	99.4		508.0	113.4
6	      932.7	288.6		552.8	121.4
7	      843.4	247.0		561.7	155.4
8	      696.3	194.6		577.2	145.1
9	      508.7	102.3		535.9	122.1
10	      527.4	119.9		565.2	144.2
11	      567.7	159.0		575.0	122.2
12	      911.8	217.8		539.8	122.5
14	      968.5	222.7		521.0	115.8
15	      440.2	104.5		429.1	126.3
