Comparison of mean adc for PMT 5 before and after resistors.
	      Run 1756 	       	 	Run 1764
Pixel	      Mean	Sigma		Mean	Sigma
1	      270.0	82.3		284.0	93.0
2	      618.2	124.9	      	290.8	91.1
3	      612.0	138.3	      	289.5	94.0
4	      773.0	253.6   	373.1	161.1
5	      387.6	136.7		265.2	85.1        
6	      348.8	95.3		281.3	73.2	
7	      340.1	76.9  		306.7	68.0
8	      390.2	76.7		275.0	76.6
9	      328.2	67.0	     	289.2	78.0
10	      304.8	79.2   		299.1	68.2
11	      234.8	54.6	      	249.3	61.7
12	      315.6	79.1	      	265.7	92.2
14	      2332.2	531.5		412.0	121.4
15	      303.3	68.3		281.5	81.6
