Comparison of mean ADC of PMT 10 before and after resistors installed.
	Run 1989	Run 2025
Pixel	Mean	Sigma	Mean	Sigma
1   	368.09  103.94	374.1	98.0
2   	361.75  100.41	321.5	90.1
3   	263.15	73.2	288.8	66.1
4   	334.70  96.203	345.7	74.2
5   	371.07  112.05	336.3	90.3
6   	301.84  85.370	322.9	79.1
8   	298.59	84.19	394.3	98.3
9   	309.23	87.05	326.3	95.8
10   	246.55	76.84	260.1	62.2
11   	171.92	51.37	191.4	46.7
12   	273.94	85.2	309.9	81.8
14   	319.46 	86.991	325.9	75.9
15   	310.29	89.69	329.7	82.7
16   	1099.4	319.03	341.8	108.8
