Comparison of mean ADC of PMT 4 before and after resistors installed.
	Run 1986	Run 1995
Pixel	Mean	Sigma	Mean	Sigma
1   	798.8   185.07	644.3	146.9
2   	2343.7  343.0	856.9	174.9
3   	1049.5  155.84	804.3	151.9
5   	851.047 140.20	841.4	152.0
6   	1179.13	213.9	810.2	166.2
8   	842.343 137.59	806.8	145.6
9   	702.252 116.51	673.4	151.1
10   	649.9	105.2	641.5	105.9
11   	781.3	125.7	810.4	150.3
12   	1081.04	184.6	792.1	155.7
13   	633.6	130.8	635.5	147.3
14   	1156.41 162.7	851.3	152.6
15   	703.838 122.8	687.0	115.5	
16   	532.8	173.1	600.7	158.6

