Comparison of PMT 14 with 200 ohm resistors and optimized resistors
	   (1867)    	      	  (1875)
Pixel	   Mean    Sigma	  Mean	  Sigma	   
2	   303	   116		  251	  109
3	   521	   177		  369	  132
4	   310     91		  295	  87
5	   454	   105		  335	  83
6	   595	   188		  341	  98
7	   553	   177		  352	  117
8	   560	   276		  313	  194
9	   296	   85		  311	  78
10	   357	   96		  308	  79
11	   445	   140		  350	  68
12	   453	   108		  384	  93
13	   485	   162		  372	  79
14	   368	   87		  331	  90
15	   346	   78		  306	  71
