Comparison of mean ADC for PMT 1 before and after resistors installed.
	Run 1858		Run 1859
Pixel	   Mean	   Sigma	 Mean	Sigma
1	   555	   123.5	 560	119
2	   597	   112.6	 526	109
4	   633	   128.2	 541	123
5	   735	   150.1	 519	111
6	   592	   109.1	 541	112
7	   688	   131.2	 546	122
8	   587	   130.9	 522	107
9	   421	   108.4	 422	109
10	   927	   180.3	 547	114
12	   703	   135.4	 527	128
13	   606	   126.6	 506	102
14	   651	   143.6	 537	140
15	   630	   150.7	 533	134
16	   362	   212.7	 369	175
