Comparison of mean ADC for PMT 2 before and after resistors installed.
	   (1835)      	        (1859)
Pixel	   Mean	   Sigma	Mean	Sigma
1	   1011	   224.0	715	121	
3	   1160	   198.7	669	149
4	   1122	   166.7	637	141
5	   1608	   278.8	664	147
6	   944	   168.2	718	151
7	   991	   170.1	690	161
8	   1083	   236.6	737	163
9	   1123	   191.8	693	122	
10	   932	   209.2	756	147
12	   1182	   234.3	644	126			
13	   1144	   193.8	695	153
14	   693	   142.7	641	156
15	   612	   125.8	469	101	
16	   551	   140.3	545	147
	   
