Comparison of mean adc for PMT8 before and after resistors.
	      (1859)   	   	       (1865)
Pixel	      Mean	Sigma	       Mean	Sigma
1	      359	85	       300	84
2	      248	55	       231	60
3	      234	56	       219	48
4	      236	56	       230	51
5	      280	62	       265	60
6	      320	66	       286	54
7	      267	53	       251	54
8	      229	52	       220	54
9	      311	71	       277	66
10	      340	80	       279	65
11	      288	63	       263	54
12	      324	63	       283	69
14	      257	50	       245	53
15	      252	53	       247	58

