PMT 10 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.731	0.795	0.868	0.920	0.968
2	0.749	0.908	0.956	0.967	0.981
3	0.605	0.744	0.930	0.948	0.580
4	0.748	0.839	0.954	0.969	0.899
5	0.763	0.954	0.993	0.964	0.934
6	0.713	0.918	0.990	0.979	0.940
8	0.879	0.963	0.971	0.971	0.980
9	0.732	0.944	0.976	0.942	0.725
10	0.802	0.986	0.985	0.938	0.738
11	0.860	0.957	0.986	0.971	0.911
12	0.745	0.934	0.980	0.967	0.894
14	0.624	0.812	0.955	0.911	0.818
15	0.659	0.684	0.766	0.814	0.929
16	0.055	0.224	0.465	0.597	0.662
