Run#	1775	1774	1773	1772	1771
PMT 9	700	725	750	775	800
1	113.1	108.6	102.9	98.9	95.2
2	95.5	89.4	85.3	83.7	84.0
3	79.3	75.1	73.3	73.6	74.1
4	144.1	138.8	133.2	125.3	118.3
5	0.0	0.0	0.0	0.0	0.0
6	47.2	46.0	47.3	49.6	51.3
7	46.1	44.2	45.2	47.8	49.3
8	60.0	56.3	56.5	59.4	60.7
9	138.0	133.1	128.5	122.6	117.1
10	142.4	137.7	131.9	124.3	116.2
11	144.1	136.4	130.9	124.1	117.8
12	143.7	139.0	131.4	124.8	117.6
13	224.7	212.6	208.9	207.4	196.1
14	220.7	197.2	191.3	191.1	182.3
15	192.6	180.9	175.0	171.0	162.2
16	0.0	0.0	0.0	0.0	0.0
