03:16:24 PM Nov 16, 2012 > Begin initialization...

03:16:26 PM Nov 16, 2012 > hatsv9:2006:HVOFF
03:16:27 PM Nov 16, 2012 > End initialization
03:17:35 PM Nov 16, 2012 > HV monitor started -> hatsv9:2006
03:17:37 PM Nov 16, 2012 > hatsv9:2006:HVOFF
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
03:17:37 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
03:17:38 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
03:17:38 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
03:17:38 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
03:17:38 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
03:17:38 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
03:17:38 PM Nov 16, 2012 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
03:17:38 PM Nov 16, 2012 > INIT TIME:75 (sec)
03:17:38 PM Nov 16, 2012 > Start HV server -> port: 5555
03:20:20 PM Nov 16, 2012 > hatsv9:2006:HVOFF
